"name","startdate","enddate","country","power"
"Khertek Anchimaa-Toka",1940-04-06,1944-10-11,"Tannu Tuva[f]","non-executive"
"Sirimavo Bandaranaike",1960-07-21,1965-03-27,"Ceylon/ Sri Lanka","executive"
"Sirimavo Bandaranaike",1970-05-29,1977-07-23,"Ceylon/ Sri Lanka","executive"
"Sirimavo Bandaranaike",1994-11-14,2000-08-09,"Ceylon/ Sri Lanka","non-executive"
"Indira Gandhi",1966-01-24,1977-04-24,"India","executive"
"Indira Gandhi",1980-01-15,1984-10-31,"India","executive"
"Golda Meir",1969-03-17,1974-06-03,"Israel","executive"
"Isabel Perón",1974-07-01,1976-03-24,"Argentina","executive"
"Elisabeth Domitien",1975-01-02,1976-04-07,"Central African Republic","non-executive"
"Margaret Thatcher",1979-05-04,1990-11-28,"United Kingdom","executive"
"Maria de Lourdes Pintasilgo",1979-08-01,1980-01-03,"Portugal","executive"
"Eugenia Charles",1980-07-21,1995-06-14,"Dominica","executive"
"Vigdís Finnbogadóttir",1980-08-01,1996-08-01,"Iceland","non-executive"
"Gro Harlem Brundtland",1981-02-04,1981-10-14,"Norway","executive"
"Gro Harlem Brundtland",1986-05-09,1989-10-16,"Norway","executive"
"Gro Harlem Brundtland",1990-11-03,1996-10-25,"Norway","executive"
"Soong Ching-ling",1981-05-16,1981-05-28,"China","non-executive"
"Agatha Barbara",1982-02-15,1987-02-15,"Malta","non-executive"
"Milka Planinc",1982-05-16,1986-05-15,"Yugoslavia","executive"
"Corazon Aquino",1986-02-25,1992-06-30,"Philippines","executive"
"Stella Sigcau",1987-10-05,1987-12-30,"Transkei","executive"
"Benazir Bhutto",1988-12-02,1990-07-06,"Pakistan","executive"
"Benazir Bhutto",1993-10-19,1996-11-05,"Pakistan","executive"
"Kazimira Prunskienė",1990-03-17,1991-01-10,"Lithuania","executive"
"Sabine Bergmann-Pohl",1990-04-05,1990-10-02,"East Germany","non-executive"
"Violeta Chamorro",1990-04-25,1997-01-10,"Nicaragua","executive"
"Mary Robinson",1990-12-03,1997-09-12,"Ireland","non-executive"
"Khaleda Zia",1991-02-27,1996-03-30,"Bangladesh","executive"
"Khaleda Zia",2001-10-01,2006-10-29,"Bangladesh","executive"
"Édith Cresson",1991-05-15,1992-04-02,"France","non-executive"
"Hanna Suchocka",1992-07-11,1993-10-25,"Poland","non-executive"
"Tansu Çiller",1993-06-13,1996-03-06,"Turkey","non-executive"
"Kim Campbell",1993-06-25,1993-11-04,"Canada","executive"
"Sylvie Kinigi",1993-07-10,1993-10-27,"Burundi","non-executive"
"Agathe Uwilingiyimana",1993-07-18,1994-04-07,"Rwanda","non-executive"
"Chandrika Kumaratunga",1994-11-12,2005-11-19,"Sri Lanka","executive"
"Claudette Werleigh",1995-11-07,1996-02-27,"Haiti","non-executive"
"Sheikh Hasina",1996-06-12,2001-07-15,"Bangladesh","executive"
"Sheikh Hasina",2009-01-06,2022-03-31,"Bangladesh","executive"
"Ruth Perry",1996-09-03,1997-08-02,"Liberia","executive"
"Anson Chan",1997-07-01,2001-04-30,"Hong Kong","non-executive"
"Mary McAleese",1997-11-11,2011-11-10,"Ireland","non-executive"
"Jenny Shipley",1997-12-08,1999-12-10,"New Zealand","executive"
"Janet Jagan",1997-12-19,1999-08-11,"Guyana","executive"
"Vaira Vīķe-Freiberga",1999-07-08,2007-07-08,"Latvia","non-executive"
"Mireya Moscoso",1999-09-01,2004-09-01,"Panama","executive"
"Helen Clark",1999-12-10,2008-11-19,"New Zealand","executive"
"Tarja Halonen",2000-03-01,2012-03-01,"Finland","non-executive"
"Gloria Macapagal Arroyo",2001-01-20,2010-06-30,"Philippines","executive"
"Mame Madior Boye",2001-03-03,2002-11-04,"Senegal","executive"
"Megawati Sukarnoputri",2001-07-23,2004-10-20,"Indonesia","executive"
"Maria das Neves",2002-10-03,2004-09-18,"São Tomé and Príncipe","non-executive"
"Anneli Jäätteenmäki",2003-04-17,2003-06-24,"Finland","executive"
"Yulia Tymoshenko",2005-01-24,2005-09-06,"Ukraine","executive"
"Yulia Tymoshenko",2007-12-18,2010-03-03,"Ukraine","executive"
"Maria do Carmo Silveira",2005-06-08,2006-04-21,"São Tomé and Príncipe","non-executive"
"Angela Merkel",2005-11-22,2021-12-08,"Germany","executive"
"Ellen Johnson Sirleaf",2006-01-16,2018-01-22,"Liberia","executive"
"Michelle Bachelet",2006-03-11,2010-03-11,"Chile","executive"
"Michelle Bachelet",2014-03-11,2018-03-11,"Chile","executive"
"Portia Simpson-Miller",2006-03-30,2007-09-11,"Jamaica","executive"
"Portia Simpson-Miller",2012-01-05,2016-03-03,"Jamaica","executive"
"Pratibha Patil",2007-07-25,2012-07-25,"India","non-executive"
"Cristina Fernández de Kirchner",2007-12-10,2015-12-10,"Argentina","executive"
"Zinaida Greceanîi",2008-03-31,2009-09-14,"Moldova","executive"
"Michèle Pierre-Louis",2008-09-05,2009-11-11,"Haiti","non-executive"
"Jóhanna Sigurðardóttir",2009-02-01,2013-05-23,"Iceland","executive"
"Jadranka Kosor",2009-07-06,2011-12-23,"Croatia","executive"
"Dalia Grybauskaitė",2009-07-12,2019-07-12,"Lithuania","non-executive"
"Roza Otunbayeva",2010-04-07,2011-12-01,"Kyrgyzstan","non-executive"
"Laura Chinchilla",2010-05-08,2014-05-08,"Costa Rica","executive"
"Kamla Persad-Bissessar",2010-05-26,2015-09-09,"Trinidad and Tobago","executive"
"Mari Kiviniemi",2010-06-22,2011-06-22,"Finland","executive"
"Julia Gillard",2010-06-24,2013-06-27,"Australia","executive"
"Iveta Radičová",2010-07-08,2012-04-04,"Slovakia","executive"
"Dilma Rousseff",2011-01-01,2016-08-31,"Brazil","executive"
"Cissé Mariam Kaïdama Sidibé",2011-04-03,2012-03-22,"Mali","non-executive"
"Atifete Jahjaga",2011-04-07,2016-04-07,"Kosovo","non-executive"
"Yingluck Shinawatra",2011-07-03,2014-05-07,"Thailand","executive"
"Helle Thorning-Schmidt",2011-10-03,2015-06-28,"Denmark","executive"
"Joyce Banda",2012-04-07,2014-05-31,"Malawi","executive"
"Park Geun-hye",2013-02-25,2017-03-10,"South Korea","executive"
"Alenka Bratušek",2013-03-20,2014-09-18,"Slovenia","executive"
"Tatiana Turanskaya",2013-06-10,2015-10-13,"Transnistria","executive"
"Tatiana Turanskaya",2015-11-30,2015-12-02,"Transnistria","executive"
"Sibel Siber",2013-06-13,2013-09-02,"Northern Cyprus","executive"
"Aminata Touré",2013-09-01,2014-07-08,"Senegal","executive"
"Erna Solberg",2013-10-16,2021-10-14,"Norway","executive"
"Laimdota Straujuma",2014-01-22,2016-02-11,"Latvia","executive"
"Marie-Louise Coleiro Preca",2014-04-04,2019-04-04,"Malta","non-executive"
"Ewa Kopacz",2014-09-22,2015-11-16,"Poland","non-executive"
"Kolinda Grabar-Kitarović",2015-02-19,2020-02-18,"Croatia","non-executive"
"Ameenah Gurib-Fakim",2015-06-05,2018-03-23,"Mauritius","non-executive"
"Bidya Devi Bhandari",2015-10-29,2022-03-31,"Nepal","non-executive"
"Beata Szydło",2015-11-16,2017-12-11,"Poland","executive"
"Hilda Heine",2016-01-28,2020-01-14,"Marshall Islands","executive"
"Aung San Suu Kyi",2016-04-06,2021-02-01,"Myanmar","non-executive"
"Tsai Ing-wen",2016-05-20,2022-03-31,"Taiwan","executive"
"Carrie Lam",2016-07-01,2022-03-31,"Hong Kong","executive"
"Theresa May",2016-07-13,2019-07-24,"United Kingdom","executive"
"Kersti Kaljulaid",2016-10-10,2021-10-11,"Estonia","non-executive"
"Ana Brnabić",2017-06-29,2022-03-31,"Serbia","executive"
"Halimah Yacob",2017-09-14,2022-03-31,"Singapore","non-executive"
"Jacinda Ardern",2017-10-26,2022-03-31,"New Zealand","executive"
"Katrín Jakobsdóttir",2017-11-30,2022-03-31,"Iceland","executive"
"Viorica Dăncilă",2018-01-29,2019-11-04,"Romania","executive"
"Paula-Mae Weekes",2018-03-19,2022-03-31,"Trinidad and Tobago","non-executive"
"Mia Mottley",2018-05-25,2022-03-31,"Barbados","executive"
"Sahle-Work Zewde",2018-10-25,2022-03-31,"Ethiopia","non-executive"
"Salome Zourabichvili",2018-12-16,2022-03-31,"Georgia","non-executive"
"Brigitte Bierlein",2019-06-03,2020-01-07,"Austria","executive"
"Maia Sandu",2019-06-08,2019-11-14,"Moldova","executive"
"Maia Sandu",2020-12-24,2022-03-31,"Moldova","non-executive"
"Zuzana Čaputová",2019-06-15,2022-03-31,"Slovakia","non-executive"
"Mette Frederiksen",2019-06-27,2022-03-31,"Denmark","executive"
"Sophie Wilmès",2019-10-27,2020-10-01,"Belgium","executive"
"Jeanine Áñez",2019-11-12,2020-11-08,"Bolivia","executive"
"Sanna Marin",2019-12-10,2022-03-31,"Finland","executive"
"Katerina Sakellaropoulou",2020-03-13,2022-03-31,"Greece","non-executive"
"Rose Christiane Raponda",2020-07-16,2022-03-31,"Gabon","executive"
"Victoire Tomegah Dogbé",2020-09-28,2022-03-31,"Togo","executive"
"Ingrida Šimonytė",2020-12-11,2022-03-31,"Lithuania","executive"
"Kaja Kallas",2021-01-26,2022-03-31,"Estonia","executive"
"Samia Suluhu Hassan",2021-03-19,2022-03-31,"Tanzania","executive"
"Vjosa Osmani",2021-04-04,2022-03-31,"Kosovo","non-executive"
"Fiamē Naomi Mataʻafa",2021-05-24,2022-03-31,"Samoa","executive"
"Natalia Gavrilița",2021-08-06,2022-03-31,"Moldova","executive"
"Najla Bouden",2021-10-11,2022-03-31,"Tunisia","executive"
"Sandra Mason",2021-11-30,2022-03-31,"Barbados","non-executive"
"Magdalena Andersson",2021-11-30,2022-03-31,"Sweden","executive"
"Xiomara Castro",2022-01-27,2022-03-31,"Honduras","executive"
